City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,udachny,66.4167,112.4,-6.96999999999997,67,100,4.3,RU,2023-04-18
92,cooma,-36.2333,149.1333,13.189999999999998,61,2,1.18,AU,2023-04-18
93,senahu,15.4,-89.8333,23.660000000000025,49,36,2.1,GT,2023-04-18
94,dunedin,-45.8742,170.5036,17.110000000000014,69,45,0.89,NZ,2023-04-18
95,la ronge,55.1001,-105.2842,2.140000000000043,41,75,8.75,CA,2023-04-18
96,susanville,40.4163,-120.653,5.910000000000025,40,40,5.36,US,2023-04-18
97,nemuro,43.3236,145.575,4.2000000000000455,82,99,1.92,JP,2023-04-18
98,santa terezinha,-29.9002,-50.0904,18.810000000000002,72,28,3.76,BR,2023-04-18
99,port douglas,-16.4833,145.4667,25.730000000000018,77,83,3.89,AU,2023-04-18
100,isafjordur,66.0755,-23.124,7.3700000000000045,93,100,2.8,IS,2023-04-18
101,holualoa,19.6228,-155.9522,25.99000000000001,67,75,3.6,US,2023-04-18
102,kununurra,-15.7667,128.7333,21.99000000000001,64,18,1.54,AU,2023-04-18
103,susuman,62.7833,148.1667,-10.439999999999998,90,87,1.65,RU,2023-04-18
104,brookings,44.3114,-96.7984,16.189999999999998,35,0,10.29,US,2023-04-18
105,kolonia,50.9333,6.95,12.75,67,100,3.6,DE,2023-04-18
106,badiyah,22.45,58.8,24.860000000000014,62,89,2.1,OM,2023-04-18
107,saudarkrokur,65.7461,-19.6394,8.57000000000005,87,100,2.52,IS,2023-04-18
108,narasannapeta,18.4167,84.05,27.100000000000023,72,24,3.77,IN,2023-04-18
109,wudil,11.8107,8.8451,30.379999999999995,27,33,0.36,NG,2023-04-18
110,samalut,28.3121,30.7101,25.230000000000018,31,36,4.39,EG,2023-04-18
111,lubin,51.4009,16.2015,9.840000000000032,89,100,4.4,PL,2023-04-18
112,longyearbyen,78.2186,15.6401,-0.08999999999997499,93,75,0.0,SJ,2023-04-18
113,hermanus,-34.4187,19.2345,15.450000000000045,78,62,3.26,ZA,2023-04-18
114,yanbu,24.0891,38.0637,26.02000000000004,73,20,1.54,SA,2023-04-18
115,ornskoldsvik,63.2909,18.7153,1.5300000000000296,86,100,1.03,SE,2023-04-18
116,north bend,43.4065,-124.2243,9.020000000000039,85,100,6.69,US,2023-04-18
117,petropavlovsk-kamchatsky,53.0452,158.6483,2.330000000000041,81,75,5.0,RU,2023-04-18
118,kayangel,8.0823,134.7173,28.010000000000048,78,83,5.59,PW,2023-04-18
119,laojunmiao,39.8333,97.7333,2.9700000000000273,40,100,3.34,CN,2023-04-18
120,mount isa,-20.7333,139.5,21.870000000000005,60,100,5.66,AU,2023-04-18
121,constitucion,-35.3333,-72.4167,13.57000000000005,68,50,5.71,CL,2023-04-18
122,port alfred,-33.5906,26.891,19.470000000000027,84,3,3.08,ZA,2023-04-18
123,lompoc,34.6391,-120.4579,19.32000000000005,62,40,9.83,US,2023-04-18
124,reggane,26.7158,0.1714,29.54000000000002,8,58,5.09,DZ,2023-04-18
125,kampong thom,12.7111,104.8887,27.110000000000014,78,22,3.13,KH,2023-04-18
126,zeya,53.75,127.2667,-1.9799999999999613,60,35,2.07,RU,2023-04-18
127,bredasdorp,-34.5322,20.0403,14.460000000000036,91,55,1.44,ZA,2023-04-18
128,yaring,6.8662,101.3689,25.760000000000048,86,100,1.59,TH,2023-04-18
129,primorsko-akhtarsk,46.0497,38.1747,11.110000000000014,84,90,5.63,RU,2023-04-18
130,claremore,36.3126,-95.6161,25.08000000000004,60,1,9.4,US,2023-04-18
131,boulder city,35.9786,-114.8325,25.360000000000014,6,0,10.29,US,2023-04-18
132,khandyga,62.6667,135.6,-3.589999999999975,86,100,1.89,RU,2023-04-18
133,puerto lempira,15.2667,-83.7667,29.08000000000004,70,20,4.12,HN,2023-04-18
134,whitehorse,60.7161,-135.0538,5.050000000000011,93,100,1.79,CA,2023-04-18
135,wotje,9.4543,170.2367,26.850000000000023,79,100,8.12,MH,2023-04-18
136,bridgewater,44.3835,-64.5155,12.840000000000032,60,41,4.63,CA,2023-04-18
137,namibe,-15.1961,12.1522,25.890000000000043,69,52,1.77,AO,2023-04-18
138,mountain home,43.133,-115.6912,4.680000000000007,63,100,8.23,US,2023-04-18
139,colonia,50.9333,6.95,12.75,67,100,3.6,DE,2023-04-18
140,codrington,-38.2667,141.9667,13.680000000000007,60,70,7.23,AU,2023-04-18
141,laguna,38.421,-121.4238,18.02000000000004,32,40,3.6,US,2023-04-18
142,tralee,52.2704,-9.7026,6.760000000000048,91,0,2.88,IE,2023-04-18
143,portales,34.1862,-103.3344,29.07000000000005,6,0,8.33,US,2023-04-18
144,tazovsky,67.4667,78.7,-12.299999999999955,96,90,3.58,RU,2023-04-18
145,island harbour,50.724,-1.2758,8.879999999999995,86,66,2.24,GB,2023-04-18
146,ar raqqah,35.95,39.0167,19.720000000000027,58,3,0.05,SY,2023-04-18
147,san andres,12.5847,-81.7006,28.010000000000048,69,40,3.6,CO,2023-04-18
148,coahuayana de hidalgo,18.7,-103.6583,30.310000000000002,43,62,3.22,MX,2023-04-18
149,holmsund,63.706,20.3641,0.5300000000000296,86,0,0.0,SE,2023-04-18
150,port lincoln,-34.7333,135.8667,15.03000000000003,58,67,5.03,AU,2023-04-18
151,talnakh,69.4865,88.3972,-20.049999999999983,87,26,2.02,RU,2023-04-18
152,sitia,35.2,26.0986,15.550000000000011,79,1,2.2,GR,2023-04-18
153,emmett,43.8735,-116.4993,6.550000000000011,68,100,1.34,US,2023-04-18
154,fale old settlement,-9.3852,-171.2468,28.27000000000004,73,77,3.19,TK,2023-04-18
155,abu al matamir,30.9102,30.1744,19.230000000000018,79,77,1.38,EG,2023-04-18
156,puerto ayora,-0.7393,-90.3518,26.970000000000027,92,92,1.34,EC,2023-04-18
157,aasiaat,68.7098,-52.8699,-8.120000000000005,93,100,3.57,GL,2023-04-18
158,mount pearl,47.5166,-52.7813,-1.589999999999975,93,100,7.2,CA,2023-04-18
159,ta`u,-14.2336,-169.5144,26.340000000000032,83,100,8.59,AS,2023-04-18
160,kenora,49.8167,-94.4337,8.54000000000002,19,40,4.12,CA,2023-04-18
161,saipan,15.1355,145.701,29.390000000000043,100,20,8.75,MP,2023-04-18
162,prado,-17.3411,-39.2208,26.189999999999998,86,9,5.09,BR,2023-04-18
163,cabo san lucas,22.8909,-109.9124,29.78000000000003,53,40,4.63,MX,2023-04-18
164,igarka,67.4667,86.5833,-20.819999999999965,100,34,2.71,RU,2023-04-18
165,gillette,44.2911,-105.5022,5.510000000000048,87,100,7.72,US,2023-04-18
166,new norfolk,-42.7826,147.0587,13.720000000000027,69,75,2.24,AU,2023-04-18
167,bowen,-20.0167,148.2333,25.110000000000014,72,0,5.36,AU,2023-04-18
168,olinda,-8.0089,-34.8553,27.850000000000023,74,40,2.06,BR,2023-04-18
169,santiago de cao,-7.9589,-79.2392,27.07000000000005,78,53,5.14,PE,2023-04-18
170,san fernando,15.0286,120.6898,28.850000000000023,78,15,0.9,PH,2023-04-18
171,devils lake,48.1128,-98.8651,7.189999999999998,56,75,7.72,US,2023-04-18
172,pudozh,61.8099,36.5345,0.20000000000004547,95,98,1.75,RU,2023-04-18
173,polyarnyy,69.1989,33.4478,2.400000000000034,83,100,8.01,RU,2023-04-18
174,anadyr,64.75,177.4833,-0.7199999999999704,80,20,8.0,RU,2023-04-18
175,tual,-5.6667,132.75,28.07000000000005,72,94,2.13,ID,2023-04-18
176,sirte,31.2089,16.5887,15.879999999999995,70,0,4.09,LY,2023-04-18
177,shiprock,36.7855,-108.687,24.189999999999998,9,22,14.19,US,2023-04-18
178,cacoal,-11.4386,-61.4472,24.29000000000002,95,100,1.25,BR,2023-04-18
179,sa kaeo,13.75,102.3333,26.850000000000023,80,25,3.43,TH,2023-04-18
180,sinabang,2.4803,96.3801,26.77000000000004,81,93,1.09,ID,2023-04-18
181,lobujya,27.95,86.8167,-11.439999999999998,32,22,2.81,NP,2023-04-18
182,nizhneangarsk,55.7833,109.55,-4.649999999999977,73,100,3.94,RU,2023-04-18
183,sisimiut,66.9395,-53.6735,-7.2999999999999545,85,98,4.15,GL,2023-04-18
184,okha,53.5739,142.9478,1.6200000000000045,80,17,0.67,RU,2023-04-18
185,enewetak,11.3474,162.3373,26.920000000000016,77,100,9.8,MH,2023-04-18
186,puerto baquerizo moreno,-0.9,-89.6,26.650000000000034,78,55,2.0,EC,2023-04-18
187,nadym,65.5333,72.5167,-11.349999999999966,89,100,4.58,RU,2023-04-18
188,onokhoy,51.932,108.0747,-2.1399999999999864,75,100,7.91,RU,2023-04-18
189,angaur state,6.906,134.13,28.200000000000045,74,60,3.3,PW,2023-04-18
190,cole harbour,44.6724,-63.4751,7.8700000000000045,91,100,4.12,CA,2023-04-18
191,luumaki,60.9262,27.5814,4.060000000000002,87,23,3.98,FI,2023-04-18
192,raduzhny,62.0961,77.475,-11.129999999999995,95,99,3.86,RU,2023-04-18
193,wailua homesteads,22.0669,-159.378,22.640000000000043,89,100,6.69,US,2023-04-18
194,alappuzha,9.49,76.3264,27.32000000000005,80,6,1.88,IN,2023-04-18
195,buenaventura,3.8801,-77.0312,26.129999999999995,86,100,0.75,CO,2023-04-18
196,sitka,57.0531,-135.33,7.939999999999998,66,0,3.09,US,2023-04-18
197,el calafate,-50.3408,-72.2768,9.560000000000002,79,99,4.27,AR,2023-04-18
198,bac kan,22.1333,105.8333,24.200000000000045,96,96,0.35,VN,2023-04-18
199,haiku-pauwela,20.9219,-156.3051,28.010000000000048,54,20,7.72,US,2023-04-18
200,guacamayas,18.0167,-102.2167,28.960000000000036,56,23,4.4,MX,2023-04-18
201,shohimardon,39.9839,71.8028,-1.5699999999999932,78,85,1.3,UZ,2023-04-18
202,bandarbeyla,9.4942,50.8122,27.08000000000004,72,10,3.08,SO,2023-04-18
203,jwaneng,-24.6004,24.7303,16.870000000000005,31,0,2.67,BW,2023-04-18
204,mollerussa,41.6333,0.9,10.650000000000034,82,22,0.89,ES,2023-04-18
205,kalmunai,7.4167,81.8167,25.82000000000005,82,24,2.15,LK,2023-04-18
206,khalkhal,37.6189,48.5258,8.770000000000039,63,8,1.35,IR,2023-04-18
207,rayachoti,14.05,78.75,25.02000000000004,52,3,2.1,IN,2023-04-18
208,bor,56.3567,44.0669,0.9600000000000364,80,32,1.11,RU,2023-04-18
209,weyburn,49.6668,-103.8511,5.1200000000000045,56,100,11.83,CA,2023-04-18
210,whitecourt,54.1502,-115.6855,12.580000000000041,14,75,7.2,CA,2023-04-18
211,tura,25.5198,90.2201,25.439999999999998,68,4,3.23,IN,2023-04-18
212,afaahiti,-17.75,-149.2833,28.930000000000007,75,62,6.25,PF,2023-04-18
213,cam ranh,11.9214,109.1591,26.980000000000018,74,20,5.14,VN,2023-04-18
214,halfway,39.6207,-77.7589,15.180000000000007,44,0,4.12,US,2023-04-18
215,chibougamau,49.9168,-74.3659,2.7900000000000205,81,100,1.54,CA,2023-04-18
216,iskateley,67.6803,53.1512,-9.310000000000002,98,81,3.42,RU,2023-04-18
217,mosjoen,65.836,13.1908,7.590000000000032,75,100,1.03,NO,2023-04-18
218,barcelos,41.5388,-8.6151,18.80000000000001,59,95,1.09,PT,2023-04-18
219,weno,7.4515,151.8468,27.83000000000004,79,100,8.62,FM,2023-04-18
